labyrinth_id,labyrinth_name,theme,beast,quality
67,Throne of the Moccasin Rinkhals Stiletto,Snakes,Moccasin Snake,Q1_Common
67,Throne of the Moccasin Rinkhals Stiletto,Snakes,Rinkhals Snake,Q2_Uncommon
67,Throne of the Moccasin Rinkhals Stiletto,Snakes,Stiletto Snake,Q3_Rare
67,Throne of the Moccasin Rinkhals Stiletto,Snakes,Amazon Tree Boa,Q4_Superior
67,Throne of the Moccasin Rinkhals Stiletto,Snakes,Asp Caterpillar,Q5_Epic
67,Throne of the Moccasin Rinkhals Stiletto,Snakes,Black Rat Snake,Q6_Mythic
67,Throne of the Moccasin Rinkhals Stiletto,Snakes,Coachwhip Snake,Q7_Ancient
67,Throne of the Moccasin Rinkhals Stiletto,Snakes,Collett’s Snake,Q8_Arcane
67,Throne of the Moccasin Rinkhals Stiletto,Snakes,Green Rat Snake,Q9_Celestial
67,Throne of the Moccasin Rinkhals Stiletto,Snakes,Kenyan Sand Boa,Q10_Ethereal
67,Throne of the Moccasin Rinkhals Stiletto,Snakes,Mussurana Snake,Q11_Transcendent
78,Spiral within the Tree Olive Racer,Snakes,Olive Sea Snake,Q1_Common
78,Spiral within the Tree Olive Racer,Snakes,Red Racer Snake,Q2_Uncommon
78,Spiral within the Tree Olive Racer,Snakes,Tentacled Snake,Q3_Rare
78,Spiral within the Tree Olive Racer,Snakes,Texas Rat Snake,Q4_Superior
78,Spiral within the Tree Olive Racer,Snakes,Asian Vine Snake,Q5_Epic
78,Spiral within the Tree Olive Racer,Snakes,Beauty rat snake,Q6_Mythic
78,Spiral within the Tree Olive Racer,Snakes,Brown Tree Snake,Q7_Ancient
78,Spiral within the Tree Olive Racer,Snakes,Bushmaster Snake,Q8_Arcane
78,Spiral within the Tree Olive Racer,Snakes,Emerald Tree Boa,Q9_Celestial
78,Spiral within the Tree Olive Racer,Snakes,Kirtland’s Snake,Q10_Ethereal
78,Spiral within the Tree Olive Racer,Snakes,Aesculapian Snake,Q11_Transcendent
89,Bastion of the Texas Coral Rough,Snakes,Aruba Rattlesnake,Q1_Common
89,Bastion of the Texas Coral Rough,Snakes,Baird’s Rat Snake,Q2_Uncommon
89,Bastion of the Texas Coral Rough,Snakes,Brown Water Snake,Q3_Rare
89,Bastion of the Texas Coral Rough,Snakes,Eastern Rat Snake,Q4_Superior
89,Bastion of the Texas Coral Rough,Snakes,False coral snake,Q5_Epic
89,Bastion of the Texas Coral Rough,Snakes,Peringuey’s Adder,Q6_Mythic
89,Bastion of the Texas Coral Rough,Snakes,Rough Earth Snake,Q7_Ancient
89,Bastion of the Texas Coral Rough,Snakes,Rough Green Snake,Q8_Arcane
89,Bastion of the Texas Coral Rough,Snakes,Texas Blind Snake,Q9_Celestial
89,Bastion of the Texas Coral Rough,Snakes,Texas Coral Snake,Q10_Ethereal
89,Bastion of the Texas Coral Rough,Snakes,Texas Night Snake,Q11_Transcendent
100,Coil amid the Smooth Western Arafura,Snakes,Western Rat Snake,Q1_Common
100,Coil amid the Smooth Western Arafura,Snakes,Arafura File Snake,Q2_Uncommon
100,Coil amid the Smooth Western Arafura,Snakes,Banded Water Snake,Q3_Rare
100,Coil amid the Smooth Western Arafura,Snakes,Fer-de-lance Snake,Q4_Superior
100,Coil amid the Smooth Western Arafura,Snakes,Japanese rat snake,Q5_Epic
100,Coil amid the Smooth Western Arafura,Snakes,Mandarin Rat Snake,Q6_Mythic
100,Coil amid the Smooth Western Arafura,Snakes,Mojave Rattlesnake,Q7_Ancient
100,Coil amid the Smooth Western Arafura,Snakes,Sharp-Tailed Snake,Q8_Arcane
100,Coil amid the Smooth Western Arafura,Snakes,Smooth Earth Snake,Q9_Celestial
100,Coil amid the Smooth Western Arafura,Snakes,Smooth Green Snake,Q10_Ethereal
100,Coil amid the Smooth Western Arafura,Snakes,Texas Garter Snake,Q11_Transcendent
111,Spiral of the Leopard Eastern Coral,Snakes,Texas Indigo Snake,Q1_Common
111,Spiral of the Leopard Eastern Coral,Snakes,Arizona Coral Snake,Q2_Uncommon
111,Spiral of the Leopard Eastern Coral,Snakes,Eastern Brown Snake,Q3_Rare
111,Spiral of the Leopard Eastern Coral,Snakes,Eastern Coral Snake,Q4_Superior
111,Spiral of the Leopard Eastern Coral,Snakes,Eastern Green Mamba,Q5_Epic
111,Spiral of the Leopard Eastern Coral,Snakes,IMG Boa Constrictor,Q6_Mythic
111,Spiral of the Leopard Eastern Coral,Snakes,Madagascar Tree Boa,Q7_Ancient
111,Spiral of the Leopard Eastern Coral,Snakes,Prairie Rattlesnake,Q8_Arcane
111,Spiral of the Leopard Eastern Coral,Snakes,Western Blind Snake,Q9_Celestial
111,Spiral of the Leopard Eastern Coral,Snakes,Western Green Mamba,Q10_Ethereal
111,Spiral of the Leopard Eastern Coral,Snakes,Antiguan Racer Snake,Q11_Transcendent
122,Reach within the Leopard Hognose Eastern,Snakes,De Kay’s Brown Snake,Q1_Common
122,Reach within the Leopard Hognose Eastern,Snakes,Eastern Indigo Snake,Q2_Uncommon
122,Reach within the Leopard Hognose Eastern,Snakes,Hook-Nosed Sea Snake,Q3_Rare
122,Reach within the Leopard Hognose Eastern,Snakes,Northern Water Snake,Q4_Superior
122,Reach within the Leopard Hognose Eastern,Snakes,Plains Hognose Snake,Q5_Epic
122,Reach within the Leopard Hognose Eastern,Snakes,Central Ranges Taipan,Q6_Mythic
122,Reach within the Leopard Hognose Eastern,Snakes,Common European Adder,Q7_Ancient
122,Reach within the Leopard Hognose Eastern,Snakes,Eastern Hognose Snake,Q8_Arcane
122,Reach within the Leopard Hognose Eastern,Snakes,Harlequin Coral Snake,Q9_Celestial
122,Reach within the Leopard Hognose Eastern,Snakes,Paradise Flying Snake,Q10_Ethereal
122,Reach within the Leopard Hognose Eastern,Snakes,Western Hognose Snake,Q11_Transcendent
133,Runes beyond the Black Rattlesnake Common,Snakes,Checkered Garter Snake,Q1_Common
133,Runes beyond the Black Rattlesnake Common,Snakes,Rim Rock Crowned Snake,Q2_Uncommon
133,Runes beyond the Black Rattlesnake Common,Snakes,Southern Hognose Snake,Q3_Rare
133,Runes beyond the Black Rattlesnake Common,Snakes,Red-Bellied Black Snake,Q4_Superior
133,Runes beyond the Black Rattlesnake Common,Snakes,Rhombic Egg-Eater Snake,Q5_Epic
133,Runes beyond the Black Rattlesnake Common,Snakes,Black-Tailed Rattlesnake,Q6_Mythic
133,Runes beyond the Black Rattlesnake Common,Snakes,Midget Faded Rattlesnake,Q7_Ancient
133,Runes beyond the Black Rattlesnake Common,Snakes,Yellow-Bellied Sea Snake,Q8_Arcane
133,Runes beyond the Black Rattlesnake Common,Snakes,Arizona Black Rattlesnake,Q9_Celestial
133,Runes beyond the Black Rattlesnake Common,Snakes,Red Tail Boa (common boa),Q10_Ethereal
133,Runes beyond the Black Rattlesnake Common,Snakes,San Francisco Garter Snake,Q11_Transcendent
144,Domain of the Rattlesnake Tiger Diamondback,Snakes,Red Diamondback Rattlesnake,Q1_Common
144,Domain of the Rattlesnake Tiger Diamondback,Snakes,Pygmy python,Q2_Uncommon
144,Domain of the Rattlesnake Tiger Diamondback,Snakes,Southern Pacific Rattlesnake,Q3_Rare
144,Domain of the Rattlesnake Tiger Diamondback,Snakes,Eastern Diamondback Rattlesnake,Q4_Superior
144,Domain of the Rattlesnake Tiger Diamondback,Snakes,Ornate Black-Tailed Rattlesnake,Q5_Epic
144,Domain of the Rattlesnake Tiger Diamondback,Snakes,Western Diamondback Rattlesnake,Q6_Mythic
144,Domain of the Rattlesnake Tiger Diamondback,Snakes,Timber Rattlesnake (Canebrake Rattlesnake),Q7_Ancient
144,Domain of the Rattlesnake Tiger Diamondback,Snakes,Western Rattlesnake (Northern Pacific Rattlesnake),Q8_Arcane
144,Domain of the Rattlesnake Tiger Diamondback,Snakes,"Dragon Snake (Javan Tubercle Snake, Javan Mudsnake)",Q9_Celestial
144,Domain of the Rattlesnake Tiger Diamondback,Snakes,Lipstick Albino Boa,Q10_Ethereal
144,Domain of the Rattlesnake Tiger Diamondback,Snakes,Viper,Q11_Transcendent
155,Bastion beyond the Tiger Viper Lion,Snakes,Python,Q1_Common
155,Bastion beyond the Tiger Viper Lion,Snakes,Pit Viper,Q2_Uncommon
155,Bastion beyond the Tiger Viper Lion,Snakes,Viper Boa,Q3_Rare
155,Bastion beyond the Tiger Viper Lion,Snakes,Bush Viper,Q4_Superior
155,Bastion beyond the Tiger Viper Lion,Snakes,Sand Viper,Q5_Epic
155,Bastion beyond the Tiger Viper Lion,Snakes,Ball Python,Q6_Mythic
155,Bastion beyond the Tiger Viper Lion,Snakes,Rhino Viper,Q7_Ancient
155,Bastion beyond the Tiger Viper Lion,Snakes,Rock Python,Q8_Arcane
155,Bastion beyond the Tiger Viper Lion,Snakes,Savu Python,Q9_Celestial
155,Bastion beyond the Tiger Viper Lion,Snakes,Woma Python,Q10_Ethereal
155,Bastion beyond the Tiger Viper Lion,Snakes,Blood Python,Q11_Transcendent
166,Rifts under the Viper Carpet Gaboon,Snakes,Carpet Viper,Q1_Common
166,Rifts under the Viper Carpet Gaboon,Snakes,Gaboon Viper,Q2_Uncommon
166,Rifts under the Viper Carpet Gaboon,Snakes,Horned Viper,Q3_Rare
166,Rifts under the Viper Carpet Gaboon,Snakes,Olive python,Q4_Superior
166,Rifts under the Viper Carpet Gaboon,Snakes,Timor python,Q5_Epic
166,Rifts under the Viper Carpet Gaboon,Snakes,Carpet Python,Q6_Mythic
166,Rifts under the Viper Carpet Gaboon,Snakes,Eyelash Viper,Q7_Ancient
166,Rifts under the Viper Carpet Gaboon,Snakes,Indian python,Q8_Arcane
166,Rifts under the Viper Carpet Gaboon,Snakes,Bredl’s Python,Q9_Celestial
166,Rifts under the Viper Carpet Gaboon,Snakes,Burmese Python,Q10_Ethereal
166,Rifts under the Viper Carpet Gaboon,Snakes,Diamond Python,Q11_Transcendent
177,Hollows of the Viper Ball Russel,Snakes,Russel’s Viper,Q1_Common
177,Hollows of the Viper Ball Russel,Snakes,Spotted python,Q2_Uncommon
177,Hollows of the Viper Ball Russel,Snakes,Albino (Amelanistic) Corn Snake,Q3_Rare
177,Hollows of the Viper Ball Russel,Snakes,Boelen’s python,Q4_Superior
177,Hollows of the Viper Ball Russel,Snakes,Oenpelli python,Q5_Epic
177,Hollows of the Viper Ball Russel,Snakes,Fire Ball Python,Q6_Mythic
177,Hollows of the Viper Ball Russel,Snakes,Pied Ball Python,Q7_Ancient
177,Hollows of the Viper Ball Russel,Snakes,Saw-scaled Viper,Q8_Arcane
177,Hollows of the Viper Ball Russel,Snakes,Spiny bush viper,Q9_Celestial
177,Hollows of the Viper Ball Russel,Snakes,Children’s python,Q10_Ethereal
177,Hollows of the Viper Ball Russel,Snakes,Enchi Ball Python,Q11_Transcendent
188,Echoes under the Ball Green Tree,Snakes,Green Tree Python,Q1_Common
188,Echoes under the Ball Green Tree,Snakes,Nose-Horned Viper,Q2_Uncommon
188,Echoes under the Ball Green Tree,Snakes,Banana Ball Python,Q3_Rare
188,Echoes under the Ball Green Tree,Snakes,Mojave Ball Python,Q4_Superior
188,Echoes under the Ball Green Tree,Snakes,Reticulated python,Q5_Epic
188,Echoes under the Ball Green Tree,Snakes,Spider Ball Python,Q6_Mythic
188,Echoes under the Ball Green Tree,Snakes,Sunset Ball Python,Q7_Ancient
188,Echoes under the Ball Green Tree,Snakes,Black-headed python,Q8_Arcane
188,Echoes under the Ball Green Tree,Snakes,Firefly Ball Python,Q9_Celestial
188,Echoes under the Ball Green Tree,Snakes,Freeway Ball Python,Q10_Ethereal
188,Echoes under the Ball Green Tree,Snakes,Cinnamon Ball Python,Q11_Transcendent
199,March amid the Ball Carpet Jungle,Snakes,Jungle Carpet Python,Q1_Common
199,March amid the Ball Carpet Jungle,Snakes,Coastal Carpet Python,Q2_Uncommon
199,March amid the Ball Carpet Jungle,Snakes,Scaleless Ball Python,Q3_Rare
199,March amid the Ball Carpet Jungle,Snakes,Bismarck Ringed Python,Q4_Superior
199,March amid the Ball Carpet Jungle,Snakes,Cow Reticulated Python,Q5_Epic
199,March amid the Ball Carpet Jungle,Snakes,Panda Pied Ball Python,Q6_Mythic
199,March amid the Ball Carpet Jungle,Snakes,Lemon Blast Ball Python,Q7_Ancient
199,March amid the Ball Carpet Jungle,Snakes,Black Pastel Ball Python,Q8_Arcane
199,March amid the Ball Carpet Jungle,Snakes,Desert Ghost Ball Python,Q9_Celestial
199,March amid the Ball Carpet Jungle,Snakes,Killer Clown Ball Python,Q10_Ethereal
199,March amid the Ball Carpet Jungle,Snakes,Orange Dream Ball Python,Q11_Transcendent
210,Labyrinth within the Cobra Ball Viper,Snakes,Super Pastel Ball Python,Q1_Common
210,Labyrinth within the Cobra Ball Viper,Snakes,Yellow Belly Ball Python,Q2_Uncommon
210,Labyrinth within the Cobra Ball Viper,Snakes,Tree Viper (Bamboo Viper),Q3_Rare
210,Labyrinth within the Cobra Ball Viper,Snakes,Spider-Tailed Horned Viper,Q4_Superior
210,Labyrinth within the Cobra Ball Viper,Snakes,Banana Cinnamon Ball Python,Q5_Epic
210,Labyrinth within the Cobra Ball Viper,Snakes,False Cobra,Q6_Mythic
210,Labyrinth within the Cobra Ball Viper,Snakes,Forest Cobra,Q7_Ancient
210,Labyrinth within the Cobra Ball Viper,Snakes,Indian Cobra,Q8_Arcane
210,Labyrinth within the Cobra Ball Viper,Snakes,Yellow Cobra,Q9_Celestial
210,Labyrinth within the Cobra Ball Viper,Snakes,Arabian Cobra,Q10_Ethereal
210,Labyrinth within the Cobra Ball Viper,Snakes,Chinese Cobra,Q11_Transcendent
221,Reach beneath the Cobra Spitting Egyptian,Snakes,Snouted Cobra,Q1_Common
221,Reach beneath the Cobra Spitting Egyptian,Snakes,Monocled Cobra,Q2_Uncommon
221,Reach beneath the Cobra Spitting Egyptian,Snakes,Spitting Cobra,Q3_Rare
221,Reach beneath the Cobra Spitting Egyptian,Snakes,Philippine Cobra,Q4_Superior
221,Reach beneath the Cobra Spitting Egyptian,Snakes,False Water Cobra,Q5_Epic
221,Reach beneath the Cobra Spitting Egyptian,Snakes,Red Spitting Cobra,Q6_Mythic
221,Reach beneath the Cobra Spitting Egyptian,Snakes,Zebra Spitting Cobra,Q7_Ancient
221,Reach beneath the Cobra Spitting Egyptian,Snakes,Equatorial Spitting Cobra,Q8_Arcane
221,Reach beneath the Cobra Spitting Egyptian,Snakes,Mozambique Spitting Cobra,Q9_Celestial
221,Reach beneath the Cobra Spitting Egyptian,Snakes,Egyptian Cobra (Egyptian Asp),Q10_Ethereal
221,Reach beneath the Cobra Spitting Egyptian,Snakes,King Snake,Q11_Transcendent
22,Coil within the Miniature Husky Mini,Dogs & Canines,Miniature Husky,Q1_Common
22,Coil within the Miniature Husky Mini,Dogs & Canines,Mini Labradoodle,Q2_Uncommon
22,Coil within the Miniature Husky Mini,Dogs & Canines,Miniature Bull Terrier,Q3_Rare
22,Coil within the Miniature Husky Mini,Dogs & Canines,Dog,Q4_Superior
22,Coil within the Miniature Husky Mini,Dogs & Canines,Pug,Q5_Epic
22,Coil within the Miniature Husky Mini,Dogs & Canines,Akita,Q6_Mythic
22,Coil within the Miniature Husky Mini,Dogs & Canines,Husky,Q7_Ancient
22,Coil within the Miniature Husky Mini,Dogs & Canines,Collie,Q8_Arcane
22,Coil within the Miniature Husky Mini,Dogs & Canines,Poodle,Q9_Celestial
22,Coil within the Miniature Husky Mini,Dogs & Canines,Vizsla,Q10_Ethereal
22,Coil within the Miniature Husky Mini,Dogs & Canines,Bulldog,Q11_Transcendent
33,Crown amid the Boxer Mastiff Pointer,Dogs & Canines,Mastiff,Q1_Common
33,Crown amid the Boxer Mastiff Pointer,Dogs & Canines,Pointer,Q2_Uncommon
33,Crown amid the Boxer Mastiff Pointer,Dogs & Canines,Pug Mix,Q3_Rare
33,Crown amid the Boxer Mastiff Pointer,Dogs & Canines,Samoyed,Q4_Superior
33,Crown amid the Boxer Mastiff Pointer,Dogs & Canines,Terrier,Q5_Epic
33,Crown amid the Boxer Mastiff Pointer,Dogs & Canines,Whippet,Q6_Mythic
33,Crown amid the Boxer Mastiff Pointer,Dogs & Canines,Bush Dog,Q7_Ancient
33,Crown amid the Boxer Mastiff Pointer,Dogs & Canines,Dog Tick,Q8_Arcane
33,Crown amid the Boxer Mastiff Pointer,Dogs & Canines,Pit Bull,Q9_Celestial
33,Crown amid the Boxer Mastiff Pointer,Dogs & Canines,Boxer Dog,Q10_Ethereal
33,Crown amid the Boxer Mastiff Pointer,Dogs & Canines,Boxer Mix,Q11_Transcendent
44,Echoes of the Chihuahua Dachshund Dalmatian,Dogs & Canines,Chihuahua,Q1_Common
44,Echoes of the Chihuahua Dachshund Dalmatian,Dogs & Canines,Dachshund,Q2_Uncommon
44,Echoes of the Chihuahua Dachshund Dalmatian,Dogs & Canines,Dalmatian,Q3_Rare
44,Echoes of the Chihuahua Dachshund Dalmatian,Dogs & Canines,Greyhound,Q4_Superior
44,Echoes of the Chihuahua Dachshund Dalmatian,Dogs & Canines,Shiba Inu,Q5_Epic
44,Echoes of the Chihuahua Dachshund Dalmatian,Dogs & Canines,Canaan Dog,Q6_Mythic
44,Echoes of the Chihuahua Dachshund Dalmatian,Dogs & Canines,Cane Corso,Q7_Ancient
44,Echoes of the Chihuahua Dachshund Dalmatian,Dogs & Canines,Collie Mix,Q8_Arcane
44,Echoes of the Chihuahua Dachshund Dalmatian,Dogs & Canines,Eskimo Dog,Q9_Celestial
44,Echoes of the Chihuahua Dachshund Dalmatian,Dogs & Canines,Husky Jack,Q10_Ethereal
44,Echoes of the Chihuahua Dachshund Dalmatian,Dogs & Canines,Rottweiler,Q11_Transcendent
55,Spiral under the Terrier Poodle Weimaraner,Dogs & Canines,Toy Poodle,Q1_Common
55,Spiral under the Terrier Poodle Weimaraner,Dogs & Canines,Weimaraner,Q2_Uncommon
55,Spiral under the Terrier Poodle Weimaraner,Dogs & Canines,Basenji Dog,Q3_Rare
55,Spiral under the Terrier Poodle Weimaraner,Dogs & Canines,Bulldog Mix,Q4_Superior
55,Spiral under the Terrier Poodle Weimaraner,Dogs & Canines,Fox Terrier,Q5_Epic
55,Spiral under the Terrier Poodle Weimaraner,Dogs & Canines,Labradoodle,Q6_Mythic
55,Spiral under the Terrier Poodle Weimaraner,Dogs & Canines,Mastiff Mix,Q7_Ancient
55,Spiral under the Terrier Poodle Weimaraner,Dogs & Canines,Pointer Mix,Q8_Arcane
55,Spiral under the Terrier Poodle Weimaraner,Dogs & Canines,Prairie Dog,Q9_Celestial
55,Spiral under the Terrier Poodle Weimaraner,Dogs & Canines,Raccoon Dog,Q10_Ethereal
55,Spiral under the Terrier Poodle Weimaraner,Dogs & Canines,Rat Terrier,Q11_Transcendent
66,Bastion under the Hound Terrier Irish,Dogs & Canines,Welsh Corgi,Q1_Common
66,Bastion under the Hound Terrier Irish,Dogs & Canines,Afghan Hound,Q2_Uncommon
66,Bastion under the Hound Terrier Irish,Dogs & Canines,Basset Hound,Q3_Rare
66,Bastion under the Hound Terrier Irish,Dogs & Canines,Bull Terrier,Q4_Superior
66,Bastion under the Hound Terrier Irish,Dogs & Canines,Carolina Dog,Q5_Epic
66,Bastion under the Hound Terrier Irish,Dogs & Canines,Goldendoodle,Q6_Mythic
66,Bastion under the Hound Terrier Irish,Dogs & Canines,Ibizan Hound,Q7_Ancient
66,Bastion under the Hound Terrier Irish,Dogs & Canines,Irish Doodle,Q8_Arcane
66,Bastion under the Hound Terrier Irish,Dogs & Canines,Irish Setter,Q9_Celestial
66,Bastion under the Hound Terrier Irish,Dogs & Canines,Newfoundland,Q10_Ethereal
66,Bastion under the Hound Terrier Irish,Dogs & Canines,Skye Terrier,Q11_Transcendent
77,Gate of the Terrier Taco Alaskan,Dogs & Canines,Taco Terrier,Q1_Common
77,Gate of the Terrier Taco Alaskan,Dogs & Canines,Alaskan Husky,Q2_Uncommon
77,Gate of the Terrier Taco Alaskan,Dogs & Canines,Blue Lacy Dog,Q3_Rare
77,Gate of the Terrier Taco Alaskan,Dogs & Canines,Bolognese Dog,Q4_Superior
77,Gate of the Terrier Taco Alaskan,Dogs & Canines,Border Collie,Q5_Epic
77,Gate of the Terrier Taco Alaskan,Dogs & Canines,Cairn Terrier,Q6_Mythic
77,Gate of the Terrier Taco Alaskan,Dogs & Canines,Cesky Terrier,Q7_Ancient
77,Gate of the Terrier Taco Alaskan,Dogs & Canines,Chihuahua Mix,Q8_Arcane
77,Gate of the Terrier Taco Alaskan,Dogs & Canines,Chow Shepherd,Q9_Celestial
77,Gate of the Terrier Taco Alaskan,Dogs & Canines,Dachshund Mix,Q10_Ethereal
77,Gate of the Terrier Taco Alaskan,Dogs & Canines,Dalmatian Mix,Q11_Transcendent
88,Throne beneath the Terrier Double Doodle,Dogs & Canines,Double Doodle,Q1_Common
88,Throne beneath the Terrier Double Doodle,Dogs & Canines,Field Spaniel,Q2_Uncommon
88,Throne beneath the Terrier Double Doodle,Dogs & Canines,Gordon Setter,Q3_Rare
88,Throne beneath the Terrier Double Doodle,Dogs & Canines,Greenland Dog,Q4_Superior
88,Throne beneath the Terrier Double Doodle,Dogs & Canines,Irish Terrier,Q5_Epic
88,Throne beneath the Terrier Double Doodle,Dogs & Canines,Pharaoh Hound,Q6_Mythic
88,Throne beneath the Terrier Double Doodle,Dogs & Canines,Scotch Collie,Q7_Ancient
88,Throne beneath the Terrier Double Doodle,Dogs & Canines,Shiba Inu Mix,Q8_Arcane
88,Throne beneath the Terrier Double Doodle,Dogs & Canines,Silky Terrier,Q9_Celestial
88,Throne beneath the Terrier Double Doodle,Dogs & Canines,Teacup Poodle,Q10_Ethereal
88,Throne beneath the Terrier Double Doodle,Dogs & Canines,Welsh Terrier,Q11_Transcendent
99,Depths amid the Terrier Shepherd Spaniel,Dogs & Canines,Akita Shepherd,Q1_Common
99,Depths amid the Terrier Shepherd Spaniel,Dogs & Canines,Biewer Terrier,Q2_Uncommon
99,Depths amid the Terrier Shepherd Spaniel,Dogs & Canines,Boglen Terrier,Q3_Rare
99,Depths amid the Terrier Shepherd Spaniel,Dogs & Canines,Border Terrier,Q4_Superior
99,Depths amid the Terrier Shepherd Spaniel,Dogs & Canines,Boston Terrier,Q5_Epic
99,Depths amid the Terrier Shepherd Spaniel,Dogs & Canines,Boykin Spaniel,Q6_Mythic
