labyrinth_id,labyrinth_name,theme,order,quality
004,Seal of Iele & Fourhorsemenofthea,Orders,Four horsemen of the apocalypse,Q9_Celestial
004,Seal of Iele & Fourhorsemenofthea,Orders,Numen,Q10_Ethereal
004,Seal of Iele & Fourhorsemenofthea,Orders,Vetala,Q11_Transcendent
005,Conclave of Sileni and EasterBilby,Orders,El Silbon,Q1_Common
005,Conclave of Sileni and EasterBilby,Orders,Sileni,Q2_Uncommon
005,Conclave of Sileni and EasterBilby,Orders,Basilisk,Q3_Rare
005,Conclave of Sileni and EasterBilby,Orders,Yilbegän,Q4_Superior
005,Conclave of Sileni and EasterBilby,Orders,Cu Sith,Q5_Epic
005,Conclave of Sileni and EasterBilby,Orders,Bonnacon,Q6_Mythic
005,Conclave of Sileni and EasterBilby,Orders,Elbow Witch,Q7_Ancient
005,Conclave of Sileni and EasterBilby,Orders,Easter Bilby,Q8_Arcane
005,Conclave of Sileni and EasterBilby,Orders,Cat Sidhe,Q9_Celestial
005,Conclave of Sileni and EasterBilby,Orders,Sundel Bolong,Q10_Ethereal
005,Conclave of Sileni and EasterBilby,Orders,Diao Si Gui,Q11_Transcendent
006,Accord of Arion and Criosphinx,Orders,Arion,Q1_Common
006,Accord of Arion and Criosphinx,Orders,Harionago,Q2_Uncommon
006,Accord of Arion and Criosphinx,Orders,Avalerion,Q3_Rare
006,Accord of Arion and Criosphinx,Orders,Marid,Q4_Superior
006,Accord of Arion and Criosphinx,Orders,Yanari,Q5_Epic
006,Accord of Arion and Criosphinx,Orders,Sagari,Q6_Mythic
006,Accord of Arion and Criosphinx,Orders,Criosphinx,Q7_Ancient
006,Accord of Arion and Criosphinx,Orders,Merlion,Q8_Arcane
006,Accord of Arion and Criosphinx,Orders,Cambion,Q9_Celestial
006,Accord of Arion and Criosphinx,Orders,Gwyllion,Q10_Ethereal
006,Accord of Arion and Criosphinx,Orders,Sea-lion,Q11_Transcendent
007,Oath of Gnome & ChichevacheHuman-f,Orders,Sky Women,Q1_Common
007,Oath of Gnome & ChichevacheHuman-f,Orders,Chichevache – Human-faced cow that feeds on good women,Q2_Uncommon
007,Oath of Gnome & ChichevacheHuman-f,Orders,Deer Woman,Q3_Rare
007,Oath of Gnome & ChichevacheHuman-f,Orders,Ittan-momen,Q4_Superior
007,Oath of Gnome & ChichevacheHuman-f,Orders,Black Lady of Bradley Woods,Q5_Epic
007,Oath of Gnome & ChichevacheHuman-f,Orders,Gnome,Q6_Mythic
007,Oath of Gnome & ChichevacheHuman-f,Orders,Shikome,Q7_Ancient
007,Oath of Gnome & ChichevacheHuman-f,Orders,Barometz,Q8_Arcane
007,Oath of Gnome & ChichevacheHuman-f,Orders,Menreiki,Q9_Celestial
007,Oath of Gnome & ChichevacheHuman-f,Orders,Menehune,Q10_Ethereal
007,Oath of Gnome & ChichevacheHuman-f,Orders,Woman in Black,Q11_Transcendent
008,Synod of Nawao & Katawa-guruma,Orders,Nawao,Q1_Common
008,Synod of Nawao & Katawa-guruma,Orders,Bakunawa,Q2_Uncommon
008,Synod of Nawao & Katawa-guruma,Orders,Minokawa,Q3_Rare
008,Synod of Nawao & Katawa-guruma,Orders,Popobawa,Q4_Superior
008,Synod of Nawao & Katawa-guruma,Orders,Kawa-uso,Q5_Epic
008,Synod of Nawao & Katawa-guruma,Orders,Kawa-zaru,Q6_Mythic
008,Synod of Nawao & Katawa-guruma,Orders,Awa-hon-do,Q7_Ancient
008,Synod of Nawao & Katawa-guruma,Orders,Katawa-guruma,Q8_Arcane
008,Synod of Nawao & Katawa-guruma,Orders,Á Bao A Qu,Q9_Celestial
008,Synod of Nawao & Katawa-guruma,Orders,Aatxe,Q10_Ethereal
008,Synod of Nawao & Katawa-guruma,Orders,Abaasy,Q11_Transcendent
009,Covenant of Abada & IbongAdarna,Orders,Abada,Q1_Common
009,Covenant of Abada & IbongAdarna,Orders,Badalisc,Q2_Uncommon
009,Covenant of Abada & IbongAdarna,Orders,Adaro,Q3_Rare
009,Covenant of Abada & IbongAdarna,Orders,Abath,Q4_Superior
009,Covenant of Abada & IbongAdarna,Orders,Abaia,Q5_Epic
009,Covenant of Abada & IbongAdarna,Orders,Radande,Q6_Mythic
009,Covenant of Abada & IbongAdarna,Orders,Humbaba,Q7_Ancient
009,Covenant of Abada & IbongAdarna,Orders,Karkadann,Q8_Arcane
009,Covenant of Abada & IbongAdarna,Orders,Abarimon,Q9_Celestial
009,Covenant of Abada & IbongAdarna,Orders,Sihuanaba,Q10_Ethereal
009,Covenant of Abada & IbongAdarna,Orders,Ibong Adarna,Q11_Transcendent
010,Seal of Lares & BarghestYorkshireb,Orders,Hecatonchires,Q1_Common
010,Seal of Lares & BarghestYorkshireb,Orders,Ichiren-Bozu,Q2_Uncommon
010,Seal of Lares & BarghestYorkshireb,Orders,Werecat,Q3_Rare
010,Seal of Lares & BarghestYorkshireb,Orders,Chonchon,Q4_Superior
010,Seal of Lares & BarghestYorkshireb,Orders,Catoblepas,Q5_Epic
010,Seal of Lares & BarghestYorkshireb,Orders,Lares,Q6_Mythic
010,Seal of Lares & BarghestYorkshireb,Orders,Siren,Q7_Ancient
010,Seal of Lares & BarghestYorkshireb,Orders,Xochitonal,Q8_Arcane
010,Seal of Lares & BarghestYorkshireb,Orders,Atomy,Q9_Celestial
010,Seal of Lares & BarghestYorkshireb,Orders,Barghest – Yorkshire black dog,Q10_Ethereal
010,Seal of Lares & BarghestYorkshireb,Orders,Bluecap,Q11_Transcendent
011,Accord of Äbädä and LlamhigynYDwr,Orders,Amhuluk,Q1_Common
011,Accord of Äbädä and LlamhigynYDwr,Orders,Hulder,Q2_Uncommon
011,Accord of Äbädä and LlamhigynYDwr,Orders,Jaculus,Q3_Rare
011,Accord of Äbädä and LlamhigynYDwr,Orders,Zhulong,Q4_Superior
011,Accord of Äbädä and LlamhigynYDwr,Orders,Impundulu,Q5_Epic
011,Accord of Äbädä and LlamhigynYDwr,Orders,Homunculus,Q6_Mythic
011,Accord of Äbädä and LlamhigynYDwr,Orders,Huli jing,Q7_Ancient
011,Accord of Äbädä and LlamhigynYDwr,Orders,Huldufólk,Q8_Arcane
011,Accord of Äbädä and LlamhigynYDwr,Orders,Chullachaki,Q9_Celestial
011,Accord of Äbädä and LlamhigynYDwr,Orders,Llamhigyn Y Dwr,Q10_Ethereal
011,Accord of Äbädä and LlamhigynYDwr,Orders,Äbädä,Q11_Transcendent
012,Seal of Huma & Abura-sumashi,Orders,Nobusuma,Q1_Common
012,Seal of Huma & Abura-sumashi,Orders,Nekomusume,Q2_Uncommon
012,Seal of Huma & Abura-sumashi,Orders,Taimatsumaru,Q3_Rare
012,Seal of Huma & Abura-sumashi,Orders,Abura-sumashi,Q4_Superior
012,Seal of Huma & Abura-sumashi,Orders,Huma,Q5_Epic
012,Seal of Huma & Abura-sumashi,Orders,Yobuko,Q6_Mythic
012,Seal of Huma & Abura-sumashi,Orders,Nikusui,Q7_Ancient
012,Seal of Huma & Abura-sumashi,Orders,Shunoban,Q8_Arcane
012,Seal of Huma & Abura-sumashi,Orders,Akuma,Q9_Celestial
012,Seal of Huma & Abura-sumashi,Orders,Incubus,Q10_Ethereal
012,Seal of Huma & Abura-sumashi,Orders,Lauma,Q11_Transcendent
013,Circle of Schrat and Bake-kujira,Orders,Iratxoak,Q1_Common
013,Circle of Schrat and Bake-kujira,Orders,Schrat,Q2_Uncommon
013,Circle of Schrat and Bake-kujira,Orders,Ijiraq,Q3_Rare
013,Circle of Schrat and Bake-kujira,Orders,Moirai,Q4_Superior
013,Circle of Schrat and Bake-kujira,Orders,Zburator,Q5_Epic
013,Circle of Schrat and Bake-kujira,Orders,Ratatoskr,Q6_Mythic
013,Circle of Schrat and Bake-kujira,Orders,Curupira,Q7_Ancient
013,Circle of Schrat and Bake-kujira,Orders,Airavata,Q8_Arcane
013,Circle of Schrat and Bake-kujira,Orders,Dirawong,Q9_Celestial
013,Circle of Schrat and Bake-kujira,Orders,Sakabashira,Q10_Ethereal
013,Circle of Schrat and Bake-kujira,Orders,Bake-kujira,Q11_Transcendent
014,Covenant of Mairu & EnchantedMoor,Orders,Hantu Air,Q1_Common
014,Covenant of Mairu & EnchantedMoor,Orders,Hantu Raya,Q2_Uncommon
014,Covenant of Mairu & EnchantedMoor,Orders,Hantu Demon,Q3_Rare
014,Covenant of Mairu & EnchantedMoor,Orders,Enchanted Moor,Q4_Superior
014,Covenant of Mairu & EnchantedMoor,Orders,Mairu,Q5_Epic
014,Covenant of Mairu & EnchantedMoor,Orders,Fairy,Q6_Mythic
014,Covenant of Mairu & EnchantedMoor,Orders,Mintuci,Q7_Ancient
014,Covenant of Mairu & EnchantedMoor,Orders,Mohan,Q8_Arcane
014,Covenant of Mairu & EnchantedMoor,Orders,Tapairu,Q9_Celestial
014,Covenant of Mairu & EnchantedMoor,Orders,Giant,Q10_Ethereal
014,Covenant of Mairu & EnchantedMoor,Orders,Vahana,Q11_Transcendent
015,Covenant of Sköll & AdarLlwchGwin,Orders,Sköll,Q1_Common
015,Covenant of Sköll & AdarLlwchGwin,Orders,Abumi-guchi,Q2_Uncommon
015,Covenant of Sköll & AdarLlwchGwin,Orders,Abzar iyesi,Q3_Rare
015,Covenant of Sköll & AdarLlwchGwin,Orders,Acephali,Q4_Superior
015,Covenant of Sköll & AdarLlwchGwin,Orders,Acheri,Q5_Epic
015,Covenant of Sköll & AdarLlwchGwin,Orders,Achiyalabopa,Q6_Mythic
015,Covenant of Sköll & AdarLlwchGwin,Orders,Achlis,Q7_Ancient
015,Covenant of Sköll & AdarLlwchGwin,Orders,Adar Llwch Gwin,Q8_Arcane
015,Covenant of Sköll & AdarLlwchGwin,Orders,Adhene,Q9_Celestial
015,Covenant of Sköll & AdarLlwchGwin,Orders,Adlet,Q10_Ethereal
015,Covenant of Sköll & AdarLlwchGwin,Orders,Adroanzi,Q11_Transcendent
016,Circle of Adze and TricksterCharacter,Orders,Vaibhavi,Q1_Common
016,Circle of Adze and TricksterCharacter,Orders,Havsrå,Q2_Uncommon
016,Circle of Adze and TricksterCharacter,Orders,Dobhar-chu,Q3_Rare
016,Circle of Adze and TricksterCharacter,Orders,Baobhan Sith,Q4_Superior
016,Circle of Adze and TricksterCharacter,Orders,Slavic dragon,Q5_Epic
016,Circle of Adze and TricksterCharacter,Orders,Zmiy – Slavic dragon,Q6_Mythic
016,Circle of Adze and TricksterCharacter,Orders,"Trickster – Character in a story which exhibits a great degree of intellect or secret knowledge, and uses it to play tricks or otherwise disobey normal rules and conventional behaviour",Q7_Ancient
016,Circle of Adze and TricksterCharacter,Orders,Supernatural beings in Slavic religion,Q8_Arcane
016,Circle of Adze and TricksterCharacter,Orders,Unclean force – Slavic mythological force,Q9_Celestial
016,Circle of Adze and TricksterCharacter,Orders,Adze,Q10_Ethereal
016,Circle of Adze and TricksterCharacter,Orders,Aerico,Q11_Transcendent
017,Ward of Æsir and Gold-diggingant,Orders,Kobold,Q1_Common
017,Ward of Æsir and Gold-diggingant,Orders,Bolla,Q2_Uncommon
017,Ward of Æsir and Gold-diggingant,Orders,Kobalos,Q3_Rare
017,Ward of Æsir and Gold-diggingant,Orders,Goldhorn,Q4_Superior
017,Ward of Æsir and Gold-diggingant,Orders,Ouroboros,Q5_Epic
017,Ward of Æsir and Gold-diggingant,Orders,Bolotnik,Q6_Mythic
017,Ward of Æsir and Gold-diggingant,Orders,Fir Bolg,Q7_Ancient
017,Ward of Æsir and Gold-diggingant,Orders,Boroboroton,Q8_Arcane
017,Ward of Æsir and Gold-diggingant,Orders,Gold-digging ant,Q9_Celestial
017,Ward of Æsir and Gold-diggingant,Orders,Æsir,Q10_Ethereal
017,Ward of Æsir and Gold-diggingant,Orders,Aeternae,Q11_Transcendent
018,Covenant of Peri & FeatheredSerpentMe,Orders,Nimerigar,Q1_Common
018,Covenant of Peri & FeatheredSerpentMe,Orders,Hiderigami,Q2_Uncommon
018,Covenant of Peri & FeatheredSerpentMe,Orders,Shtriga,Q3_Rare
018,Covenant of Peri & FeatheredSerpentMe,Orders,Zorigami,Q4_Superior
018,Covenant of Peri & FeatheredSerpentMe,Orders,Korrigan,Q5_Epic
018,Covenant of Peri & FeatheredSerpentMe,Orders,Peri,Q6_Mythic
018,Covenant of Peri & FeatheredSerpentMe,Orders,Merlin,Q7_Ancient
018,Covenant of Peri & FeatheredSerpentMe,Orders,Garmr,Q8_Arcane
018,Covenant of Peri & FeatheredSerpentMe,Orders,Merrow,Q9_Celestial
018,Covenant of Peri & FeatheredSerpentMe,Orders,Kiyohime,Q10_Ethereal
018,Covenant of Peri & FeatheredSerpentMe,Orders,Feathered Serpent – Mesoamerican dragon,Q11_Transcendent
019,Conclave of Piru and AnthropomorphicAni,Orders,Psychic vampire,Q1_Common
019,Conclave of Piru and AnthropomorphicAni,Orders,Vampire,Q2_Uncommon
019,Conclave of Piru and AnthropomorphicAni,Orders,Psychai,Q3_Rare
019,Conclave of Piru and AnthropomorphicAni,Orders,Dhampir,Q4_Superior
019,Conclave of Piru and AnthropomorphicAni,Orders,Psychopomp,Q5_Epic
019,Conclave of Piru and AnthropomorphicAni,Orders,Tchico,Q6_Mythic
019,Conclave of Piru and AnthropomorphicAni,Orders,Huaychivo,Q7_Ancient
019,Conclave of Piru and AnthropomorphicAni,Orders,Yama-chichi,Q8_Arcane
019,Conclave of Piru and AnthropomorphicAni,Orders,Piru,Q9_Celestial
019,Conclave of Piru and AnthropomorphicAni,Orders,Chickcharney,Q10_Ethereal
019,Conclave of Piru and AnthropomorphicAni,Orders,Anthropomorphic Animals,Q11_Transcendent
020,Circle of Agni and CeffylDŵr,Orders,Ceffyl Dŵr,Q1_Common
020,Circle of Agni and CeffylDŵr,Orders,Fylgja,Q2_Uncommon
020,Circle of Agni and CeffylDŵr,Orders,Afanc,Q3_Rare
020,Circle of Agni and CeffylDŵr,Orders,Agni,Q4_Superior
020,Circle of Agni and CeffylDŵr,Orders,Agathodaemon,Q5_Epic
020,Circle of Agni and CeffylDŵr,Orders,Agloolik,Q6_Mythic
020,Circle of Agni and CeffylDŵr,Orders,Agogwe,Q7_Ancient
020,Circle of Agni and CeffylDŵr,Orders,Akhekh,Q8_Arcane
020,Circle of Agni and CeffylDŵr,Orders,Ahkiyyini,Q9_Celestial
020,Circle of Agni and CeffylDŵr,Orders,Ahuizotl,Q10_Ethereal
020,Circle of Agni and CeffylDŵr,Orders,Ahura,Q11_Transcendent
021,Seal of Yama & NyamiNyami,Orders,Yama-biko,Q1_Common
021,Seal of Yama & NyamiNyami,Orders,Yama-bito,Q2_Uncommon
021,Seal of Yama & NyamiNyami,Orders,Yama,Q3_Rare
021,Seal of Yama & NyamiNyami,Orders,Yama-inu,Q4_Superior
021,Seal of Yama & NyamiNyami,Orders,Yama-uba,Q5_Epic
021,Seal of Yama & NyamiNyami,Orders,Yama-waro,Q6_Mythic
021,Seal of Yama & NyamiNyami,Orders,Yama-otoko,Q7_Ancient
021,Seal of Yama & NyamiNyami,Orders,Yamata no Orochi,Q8_Arcane
021,Seal of Yama & NyamiNyami,Orders,Nyami Nyami,Q9_Celestial
021,Seal of Yama & NyamiNyami,Orders,Sea-bee,Q10_Ethereal
021,Seal of Yama & NyamiNyami,Orders,Tikoloshe,Q11_Transcendent
022,Seal of Mara & Karakoncolos,Orders,Makara,Q1_Common
022,Seal of Mara & Karakoncolos,Orders,Kumakatok,Q2_Uncommon
022,Seal of Mara & Karakoncolos,Orders,Karakura,Q3_Rare
022,Seal of Mara & Karakoncolos,Orders,Karasu-tengu,Q4_Superior
022,Seal of Mara & Karakoncolos,Orders,Karakoncolos,Q5_Epic
022,Seal of Mara & Karakoncolos,Orders,Mara,Q6_Mythic
022,Seal of Mara & Karakoncolos,Orders,Iara,Q7_Ancient
022,Seal of Mara & Karakoncolos,Orders,Takam,Q8_Arcane
022,Seal of Mara & Karakoncolos,Orders,Karura,Q9_Celestial
022,Seal of Mara & Karakoncolos,Orders,Karkinos,Q10_Ethereal
022,Seal of Mara & Karakoncolos,Orders,Karzełek,Q11_Transcendent
023,Synod of Strix & Laestrygonians,Orders,Strix,Q1_Common
023,Synod of Strix & Laestrygonians,Orders,Strigoi,Q2_Uncommon
023,Synod of Strix & Laestrygonians,Orders,Callitrix,Q3_Rare
023,Synod of Strix & Laestrygonians,Orders,Strzyga,Q4_Superior
023,Synod of Strix & Laestrygonians,Orders,Tritons,Q5_Epic
023,Synod of Strix & Laestrygonians,Orders,Struthopodes,Q6_Mythic
023,Synod of Strix & Laestrygonians,Orders,Cockatrice,Q7_Ancient
023,Synod of Strix & Laestrygonians,Orders,Tripurasura,Q8_Arcane
023,Synod of Strix & Laestrygonians,Orders,Laestrygonians,Q9_Celestial
023,Synod of Strix & Laestrygonians,Orders,Elwetritsch,Q10_Ethereal
023,Synod of Strix & Laestrygonians,Orders,Aigamuxa,Q11_Transcendent
024,Conclave of Dragon and VěriŞělenChuvashdr,Orders,Lóng – Chinese dragon,Q1_Common
024,Conclave of Dragon and VěriŞělenChuvashdr,Orders,Ryū – Japanese dragon,Q2_Uncommon
024,Conclave of Dragon and VěriŞělenChuvashdr,Orders,Tatsu – Japanese dragon,Q3_Rare
024,Conclave of Dragon and VěriŞělenChuvashdr,Orders,Dragon,Q4_Superior
024,Conclave of Dragon and VěriŞělenChuvashdr,Orders,Yong – Korean dragon,Q5_Epic
024,Conclave of Dragon and VěriŞělenChuvashdr,Orders,Věri Şělen – Chuvash dragon,Q6_Mythic
024,Conclave of Dragon and VěriŞělenChuvashdr,Orders,Dragon turtle,Q7_Ancient
024,Conclave of Dragon and VěriŞělenChuvashdr,Orders,Chindi,Q8_Arcane
024,Conclave of Dragon and VěriŞělenChuvashdr,Orders,Patagon,Q9_Celestial
024,Conclave of Dragon and VěriŞělenChuvashdr,Orders,Chinthe,Q10_Ethereal
024,Conclave of Dragon and VěriŞělenChuvashdr,Orders,Kachina,Q11_Transcendent
025,Circle of Guhin and Hieracosphinx,Orders,Sphinx,Q1_Common
025,Circle of Guhin and Hieracosphinx,Orders,Androsphinx,Q2_Uncommon
025,Circle of Guhin and Hieracosphinx,Orders,Hieracosphinx,Q3_Rare
025,Circle of Guhin and Hieracosphinx,Orders,Guhin,Q4_Superior
025,Circle of Guhin and Hieracosphinx,Orders,Xhindi,Q5_Epic
025,Circle of Guhin and Hieracosphinx,Orders,Nephilim,Q6_Mythic
025,Circle of Guhin and Hieracosphinx,Orders,Yakshini,Q7_Ancient
025,Circle of Guhin and Hieracosphinx,Orders,Amphiptere,Q8_Arcane
025,Circle of Guhin and Hieracosphinx,Orders,Shinigami,Q9_Celestial
025,Circle of Guhin and Hieracosphinx,Orders,Amphisbaena,Q10_Ethereal
025,Circle of Guhin and Hieracosphinx,Orders,Tsuchinoko,Q11_Transcendent
026,Oath of Daitya & PhiTaiHong,Orders,Bush Dai Dai,Q1_Common
026,Oath of Daitya & PhiTaiHong,Orders,Daitya,Q2_Uncommon
026,Oath of Daitya & PhiTaiHong,Orders,Daitengu,Q3_Rare
026,Oath of Daitya & PhiTaiHong,Orders,Far darrig,Q4_Superior
026,Oath of Daitya & PhiTaiHong,Orders,Bai Ze,Q5_Epic
026,Oath of Daitya & PhiTaiHong,Orders,Sirrush,Q6_Mythic
026,Oath of Daitya & PhiTaiHong,Orders,Succubus,Q7_Ancient
026,Oath of Daitya & PhiTaiHong,Orders,Ushi-oni,Q8_Arcane
026,Oath of Daitya & PhiTaiHong,Orders,Kushtaka,Q9_Celestial
026,Oath of Daitya & PhiTaiHong,Orders,Phi Tai Hong,Q10_Ethereal
026,Oath of Daitya & PhiTaiHong,Orders,Mushusshu,Q11_Transcendent
027,Synod of Duende & BlafardImaginarycr,Orders,Weiße Frauen,Q1_Common
027,Synod of Duende & BlafardImaginarycr,Orders,Duende,Q2_Uncommon
027,Synod of Duende & BlafardImaginarycr,Orders,Gaueko,Q3_Rare
027,Synod of Duende & BlafardImaginarycr,Orders,Draugr,Q4_Superior
027,Synod of Duende & BlafardImaginarycr,Orders,Trauco,Q5_Epic
027,Synod of Duende & BlafardImaginarycr,Orders,Vielfras,Q6_Mythic
027,Synod of Duende & BlafardImaginarycr,Orders,Pyrausta,Q7_Ancient
027,Synod of Duende & BlafardImaginarycr,Orders,The Fates,Q8_Arcane
027,Synod of Duende & BlafardImaginarycr,Orders,Blafard – Imaginary creature from the early United States of America,Q9_Celestial
027,Synod of Duende & BlafardImaginarycr,Orders,Loveland frog,Q10_Ethereal
027,Synod of Duende & BlafardImaginarycr,Orders,Bendigeidfran,Q11_Transcendent
028,Seal of Bashe & Biscione,Orders,Basilisco Chilote,Q1_Common
028,Seal of Bashe & Biscione,Orders,Dilong,Q2_Uncommon
028,Seal of Bashe & Biscione,Orders,Bashe,Q3_Rare
028,Seal of Bashe & Biscione,Orders,Basty,Q4_Superior
028,Seal of Bashe & Biscione,Orders,Lilin,Q5_Epic
028,Seal of Bashe & Biscione,Orders,Qilin,Q6_Mythic
028,Seal of Bashe & Biscione,Orders,Asiman,Q7_Ancient
028,Seal of Bashe & Biscione,Orders,Jenglot,Q8_Arcane
028,Seal of Bashe & Biscione,Orders,Orobas,Q9_Celestial
028,Seal of Bashe & Biscione,Orders,Baubas,Q10_Ethereal
028,Seal of Bashe & Biscione,Orders,Biscione,Q11_Transcendent
029,Ward of Panes and LibyanAegipanes,Orders,Panes,Q1_Common
029,Ward of Panes and LibyanAegipanes,Orders,Manes,Q2_Uncommon
029,Ward of Panes and LibyanAegipanes,Orders,Libyan Aegipanes,Q3_Rare
029,Ward of Panes and LibyanAegipanes,Orders,Pandi,Q4_Superior
029,Ward of Panes and LibyanAegipanes,Orders,Panis,Q5_Epic
029,Ward of Panes and LibyanAegipanes,Orders,Panther,Q6_Mythic
029,Ward of Panes and LibyanAegipanes,Orders,Panlong,Q7_Ancient
029,Ward of Panes and LibyanAegipanes,Orders,Buggane,Q8_Arcane
029,Ward of Panes and LibyanAegipanes,Orders,Panotti,Q9_Celestial
029,Ward of Panes and LibyanAegipanes,Orders,Kanedama,Q10_Ethereal
029,Ward of Panes and LibyanAegipanes,Orders,Chaneque,Q11_Transcendent
030,Synod of Diting & BeastofBrayRoad,Orders,Questing Beast,Q1_Common
030,Synod of Diting & BeastofBrayRoad,Orders,Bestial beast,Q2_Uncommon
030,Synod of Diting & BeastofBrayRoad,Orders,Pictish Beast,Q3_Rare
030,Synod of Diting & BeastofBrayRoad,Orders,Kting Voar,Q4_Superior
030,Synod of Diting & BeastofBrayRoad,Orders,Lightning Bird,Q5_Epic
030,Synod of Diting & BeastofBrayRoad,Orders,Diting,Q6_Mythic
030,Synod of Diting & BeastofBrayRoad,Orders,Beast of the Earth,Q7_Ancient
030,Synod of Diting & BeastofBrayRoad,Orders,Beast of Gévaudan,Q8_Arcane
030,Synod of Diting & BeastofBrayRoad,Orders,Beast of Bray Road,Q9_Celestial
030,Synod of Diting & BeastofBrayRoad,Orders,Drop Bear,Q10_Ethereal
030,Synod of Diting & BeastofBrayRoad,Orders,Orang Bunian,Q11_Transcendent
031,Circle of Wani and Guardianangel,Orders,Giant animal,Q1_Common
031,Circle of Wani and Guardianangel,Orders,Wani,Q2_Uncommon
031,Circle of Wani and Guardianangel,Orders,Nian,Q3_Rare
031,Circle of Wani and Guardianangel,Orders,Jian,Q4_Superior
031,Circle of Wani and Guardianangel,Orders,Amala,Q5_Epic
031,Circle of Wani and Guardianangel,Orders,Vimana,Q6_Mythic
031,Circle of Wani and Guardianangel,Orders,Sint Holo,Q7_Ancient
031,Circle of Wani and Guardianangel,Orders,Al Ana,Q8_Arcane
031,Circle of Wani and Guardianangel,Orders,Oceanid,Q9_Celestial
031,Circle of Wani and Guardianangel,Orders,Guardian angel,Q10_Ethereal
031,Circle of Wani and Guardianangel,Orders,Taniwha,Q11_Transcendent
032,Covenant of Hades & Farfadet,Orders,Limnades,Q1_Common
032,Covenant of Hades & Farfadet,Orders,Hades,Q2_Uncommon
032,Covenant of Hades & Farfadet,Orders,Isonade,Q3_Rare
032,Covenant of Hades & Farfadet,Orders,Lampades,Q4_Superior
032,Covenant of Hades & Farfadet,Orders,Gorgades,Q5_Epic
032,Covenant of Hades & Farfadet,Orders,Shade,Q6_Mythic
032,Covenant of Hades & Farfadet,Orders,Chollima,Q7_Ancient
032,Covenant of Hades & Farfadet,Orders,Cadejo,Q8_Arcane
032,Covenant of Hades & Farfadet,Orders,Gud-elim,Q9_Celestial
